Region,Code,Crime_name,Year,Value
Sicilia,BLOWS,percosse,2011,1120
Sicilia,BLOWS,percosse,2012,1051
Sicilia,BLOWS,percosse,2013,1189
Sicilia,BLOWS,percosse,2014,1125
Sicilia,BLOWS,percosse,2015,1139
Sicilia,BLOWS,percosse,2016,1099
Sicilia,BLOWS,percosse,2017,1104
Sicilia,BLOWS,percosse,2018,1141
Sicilia,BLOWS,percosse,2019,1156
Sicilia,CULPINJU,lesioni dolose,2010,5236
Sicilia,CULPINJU,lesioni dolose,2011,5766
Sicilia,CULPINJU,lesioni dolose,2012,5955
Sicilia,CULPINJU,lesioni dolose,2013,5597
Sicilia,CULPINJU,lesioni dolose,2014,6052
Sicilia,CULPINJU,lesioni dolose,2015,5675
Sicilia,CULPINJU,lesioni dolose,2016,5362
Sicilia,CULPINJU,lesioni dolose,2017,5512
Sicilia,CULPINJU,lesioni dolose,2018,5557
Sicilia,CULPINJU,lesioni dolose,2019,5437
Sicilia,MENACE,minacce,2010,7427
Sicilia,MENACE,minacce,2011,7686
Sicilia,MENACE,minacce,2012,8178
Sicilia,MENACE,minacce,2013,8399
Sicilia,MENACE,minacce,2014,8462
Sicilia,MENACE,minacce,2015,8369
Sicilia,MENACE,minacce,2016,7569
Sicilia,MENACE,minacce,2017,7700
Sicilia,MENACE,minacce,2018,7786
Sicilia,MENACE,minacce,2019,7789
Sicilia,KIDNAPP,sequestri di persona,2010,108
Sicilia,KIDNAPP,sequestri di persona,2011,139
Sicilia,KIDNAPP,sequestri di persona,2012,164
Sicilia,KIDNAPP,sequestri di persona,2013,158
Sicilia,KIDNAPP,sequestri di persona,2014,142
Sicilia,KIDNAPP,sequestri di persona,2015,150
Sicilia,KIDNAPP,sequestri di persona,2016,138
Sicilia,KIDNAPP,sequestri di persona,2017,110
Sicilia,KIDNAPP,sequestri di persona,2018,91
Sicilia,KIDNAPP,sequestri di persona,2019,103
Sicilia,OFFENCE,ingiurie,2010,4928
Sicilia,OFFENCE,ingiurie,2011,5283
Sicilia,OFFENCE,ingiurie,2012,5421
Sicilia,OFFENCE,ingiurie,2013,5565
Sicilia,OFFENCE,ingiurie,2014,5589
Sicilia,OFFENCE,ingiurie,2015,5253
Sicilia,OFFENCE,ingiurie,2016,1536
Sicilia,OFFENCE,ingiurie,2017,202
Sicilia,RAPE,violenze sessuali,2010,299
Sicilia,RAPE,violenze sessuali,2011,315
Sicilia,RAPE,violenze sessuali,2012,290
Sicilia,RAPE,violenze sessuali,2013,324
Sicilia,RAPE,violenze sessuali,2014,310
Sicilia,RAPE,violenze sessuali,2015,297
Sicilia,RAPE,violenze sessuali,2016,267
Sicilia,RAPE,violenze sessuali,2017,350
Sicilia,RAPE,violenze sessuali,2018,369
Sicilia,RAPE,violenze sessuali,2019,345
Sicilia,RAPEUN18,atti sessuali con minorenne,2010,49
Sicilia,RAPEUN18,atti sessuali con minorenne,2011,44
Sicilia,RAPEUN18,atti sessuali con minorenne,2012,53
Sicilia,RAPEUN18,atti sessuali con minorenne,2013,38
Sicilia,RAPEUN18,atti sessuali con minorenne,2014,42
Sicilia,RAPEUN18,atti sessuali con minorenne,2015,44
Sicilia,RAPEUN18,atti sessuali con minorenne,2016,35
Sicilia,RAPEUN18,atti sessuali con minorenne,2017,40
Sicilia,RAPEUN18,atti sessuali con minorenne,2018,59
Sicilia,RAPEUN18,atti sessuali con minorenne,2019,43
Sicilia,CORRUPUN18,corruzione di minorenne,2010,16
Sicilia,CORRUPUN18,corruzione di minorenne,2011,17
Sicilia,CORRUPUN18,corruzione di minorenne,2012,7
Sicilia,CORRUPUN18,corruzione di minorenne,2013,15
Sicilia,CORRUPUN18,corruzione di minorenne,2014,16
Sicilia,CORRUPUN18,corruzione di minorenne,2015,12
Sicilia,CORRUPUN18,corruzione di minorenne,2016,14
Sicilia,CORRUPUN18,corruzione di minorenne,2017,11
Sicilia,CORRUPUN18,corruzione di minorenne,2018,12
Sicilia,CORRUPUN18,corruzione di minorenne,2019,11
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2010,80
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2011,77
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2012,65
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2013,74
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2014,91
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2015,86
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2016,87
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2017,58
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2018,58
Sicilia,PROSTI,sfruttamento e favoreggiamento della prostituzione,2019,36
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2010,42
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2011,24
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2012,34
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2013,30
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2014,44
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2015,57
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2016,38
